i,export_value,balance_ratio,export_stability_index,top_five_export,export_entropy,export_HHI,export_partner_count,average_export_distance,farthest_export_distance
100,91464650.61088793,0.9034064074820413,0.05472994212226201,16253143.66307274,6.097845462868097,0.009727468108617783,196,2026.222928797385,17256.21181237496
104,53141779.499901846,0.7072847126077451,0.052967086738012745,22493917.99488373,4.3411053408398494,0.062216618487107654,179,2954.8029822633544,18359.588772868497
108,727587.050224347,0.30833017639844684,0.03451397527195927,566995.3744327929,2.4084829644679773,0.21449960940399523,106,4017.0283296448706,14424.132667067224
112,84746734.23274897,0.8800035517279043,0.08477504800498062,29039146.27241117,5.14946512511881,0.04614794493375327,176,3013.5015042469417,17027.579754989052
116,56355532.953703575,0.9020297138169439,0.019568664769560307,12126154.639435276,4.694041939563195,0.018476093709600842,161,6777.334518459012,19611.39680464817
12,107696295.29997143,0.7752568483337138,0.046336475049993074,96166575.74027514,1.8899988273555872,0.22474601439779768,152,4404.098445857997,18187.924096527953
120,12594574.023383403,0.7511491419825503,0.019272955262250265,7894590.493892746,2.9814959431552013,0.12969751628719106,155,6287.140527744242,17127.730350567195
124,1189472143.9465864,1.1140479551781899,0.043842154209978106,335051766.6681856,5.469100566461929,0.026298066873573934,213,7683.8068947644415,15074.67484896765
132,336496.8365944191,0.1319247411781727,0.020927511418596948,196687.16970307435,3.1419429049180927,0.0871682061397766,95,3646.2430432256215,17530.499790934242
140,495461.9391936908,0.4465606847685664,0.11780810364995238,272589.2652616734,3.269276430808976,0.09931664641143424,109,6255.365503761116,15816.670203489599
144,34471339.30654299,0.5782601747218654,0.022045210088493892,7086940.805994678,5.227675057795325,0.015104134820434085,191,7154.392650312801,17639.290776885515
148,4256289.223124106,2.1877284144099494,0.09178120702476701,4202901.425403122,0.6631165789226797,0.7240910282676751,87,5665.908411632808,16084.375504516205
152,210176260.06421328,1.094991079372433,0.0554662101570449,105750020.35756974,3.9008261644059514,0.09616043465228168,190,14615.885214693684,19564.495346650838
156,7300763247.444649,1.6891211539536526,0.06330871155015501,1321235900.998225,6.412107988840766,0.010281347485075717,206,6348.305363204342,19564.495346650838
170,115823799.98513472,0.8305928211898062,0.06626043978666024,69051591.25186457,3.6543931952049724,0.11774234976992241,193,6700.518516759874,19335.336733120606
174,263495.95401751954,0.2347085298826426,0.02583595157844572,244333.26722165607,1.5243361911519602,0.3484603940604868,88,6215.768905594259,16209.592972268936
178,25761911.754230116,2.2452239719499403,0.2484995797143144,22136154.89264967,1.811294437465914,0.33906358794296565,132,8141.163844947934,14704.122814670567
180,23411141.02450814,1.4171731777963243,0.2351716435832218,19278725.596166212,2.059552668804183,0.21546924546645616,102,7325.615537194637,14078.669595322202
188,40892641.79152986,0.8796443228952496,0.02083199133161714,17847662.88634801,4.420172971187593,0.04506966051068128,183,6248.984682222314,18474.490250982035
191,43534305.922931656,0.5863498264065234,0.048405283490804855,6235701.072899249,6.174968281602563,0.008105811648849489,193,1364.7343864795612,17979.216897589784
192,3840782.6031113197,0.20486282040775955,0.02336281823733052,2686927.150981728,2.731808722729673,0.137884004022062,132,10232.686442186625,17440.685116091856
196,12491075.476248305,0.40280236602684427,0.06137208347900308,5097324.618476373,4.7891621062754135,0.044184829485327856,195,2609.3053721377296,16339.034138479014
20,437906.87283503154,0.09734429096956704,0.0037715867017563305,139257.84001244514,4.7246662185248605,0.029439630617013594,136,2233.2835303308216,19180.481169399583
203,507591731.3846495,1.0531782365985747,0.05223633633033001,76193264.28564636,6.145161705686262,0.008027347272889878,210,1394.45634256995,17979.657054300103
204,4480597.348484344,0.282479674422427,0.027836822164782355,3257251.6625739243,2.867365614662134,0.15150080001167282,133,6487.693303139103,14675.258927180115
208,276580638.9664489,0.996596249801496,0.041430688689566744,41835829.46394748,6.266738694711369,0.0074224318675090335,212,2794.310785254578,17951.11541095771
212,161530.31044011613,0.2264131609080973,0.01339624158567769,95886.78062380667,3.394105008539196,0.11774801149841185,104,10753.465596803537,18538.13076988302
214,28025488.636319816,0.564364785085658,0.04099075192386985,10581128.851278238,4.446757000588234,0.042503634841446966,166,6057.2750815691425,17977.321379059027
218,60806675.64984879,1.0325912974337965,0.0606784606129432,42715716.874173135,2.9281557601141976,0.1588199353199117,183,8532.89112882882,19727.55201207025
222,17795096.44599243,0.5548262112365937,0.01730310682158941,4226891.293519587,5.000294204093393,0.02163642154102932,156,2156.4114547444565,17830.69575605378
226,14698473.862242682,5.327570070220251,0.14501639819689757,14057394.189815722,1.2213059676457307,0.4624483524790554,81,8540.15384932001,13480.408299348419
231,7612446.687589449,0.2933374135541024,0.010893707602637786,4996894.972963006,3.062473340885596,0.13648197890555522,133,5518.384044305606,14536.004561211828
232,1273337.4093171526,1.118545854083272,0.07503336061173693,1245617.3332971148,1.4171543088577288,0.2936051709769213,80,5382.711749145247,14626.584778196624
233,46424254.42876819,0.8605342586421595,0.03984185316801757,8776830.210657956,5.96338738700544,0.012459857331109984,192,2171.8854449976902,17007.504156087838
24,112055300.38162184,2.6923597593676734,0.13723655198161683,107619643.29356806,0.8250652284229116,0.7246206544787401,155,9612.50051683021,16955.128419668174
242,3014872.2829146334,0.3834401926790525,0.00797533561218029,1120150.5690669105,4.587313530603277,0.03788145197279416,148,6053.245093791411,19552.483235041185
246,213117120.7639846,1.0727103593723184,0.0627019105921498,37913548.40151888,5.85630278609632,0.011336770827897288,209,3279.288565607343,16671.085417812916
262,299143.1937279626,0.02074676883148312,0.004446732937212309,174856.95070492895,3.4911771180431583,0.07333543368084308,87,3223.1042166603906,14525.139436246907
266,14430912.13958767,2.3784671100213495,0.1584427533281978,13197868.76874044,1.4454442524169462,0.43141740152757235,119,9978.888908738747,16316.625277345669
268,9574014.095226126,0.38585452523044356,0.058077552442123447,3307100.32877287,4.500335892787876,0.04041997076620646,154,2513.7125326278656,15783.81777670462
270,506862.7991644005,0.12335171634605843,0.03567826431859249,376713.81662899634,2.600809071791038,0.1730390164056475,108,10088.493008539788,16790.380392116753
276,4119642172.6408014,1.272889217194318,0.04397311975466029,598155237.2898644,6.61686627820485,0.006303905895541713,220,3212.0691064703365,18245.391353731007
28,581786.5013783369,0.26796023677676933,0.02793171348440366,462393.62780051323,1.8998672540110009,0.4564354679226637,99,8034.321471076606,18337.20260657533
288,55093771.50729915,1.3341101777185747,0.08345007120439311,44493100.99979795,2.490589087689338,0.17578692255595546,165,6930.402174591409,18043.281564191468
296,443742.9645770335,1.263414933509012,0.07812857829815567,423393.1586650618,1.1921583073765805,0.5039910661676715,62,15403.326352980344,18756.890408875377
300,94823565.63661824,0.5741080430742097,0.0599438446877114,33364523.32836483,5.027978664580738,0.0744506271484883,214,2476.324620758917,17346.19560364073
308,92547.59746531436,0.1762261081541285,0.006100135919230256,61919.26063024879,2.9530932653552155,0.12077621204110037,84,6238.258993015739,18904.56644258914
31,49223675.77506525,1.6127086860912683,0.1497264209447958,45081614.465571314,1.1722391197192192,0.6354432178364776,139,3159.912582362422,15396.164074878257
32,180094859.7844759,0.965823930615998,0.00981260138278497,67684319.19015907,4.5313656209138,0.04286612110966116,181,9802.608540425104,19017.498882213768
320,33145106.192025237,0.664842125949388,0.03973994641935481,9214303.180684522,5.048066590781134,0.023109134912714713,173,4387.652957178027,17561.018695549872
324,14826613.545852061,1.2620148864612382,0.1686686410935544,13884378.462539194,1.3655903834193317,0.39340404400191265,107,8162.017889358942,19025.53711432821
328,4093674.098289498,1.4743363523808795,0.014088559511763387,3210122.6095818174,1.9831273326088428,0.3359294272323548,98,7842.123061430428,19510.27125915781
332,3452535.313158793,0.3769455225957724,0.013010113938834143,2250595.336,2.831780381251155,0.1268959908450963,118,5835.379316747833,17863.16849950068
340,25334780.434234828,0.8569570442213738,0.030395292612328022,9823420.334856289,4.300753730809073,0.039943948094668856,148,4474.999377601494,17880.521218748698
348,329923222.22628057,1.101448917569752,0.043981639794195844,51671053.78250503,5.937728569345446,0.009093324457525198,200,1785.9777645160443,17735.643496161516
352,17202515.153394748,0.7757424619059228,0.06614141562019622,7900381.7389027225,3.8317512200201986,0.07356749639174291,175,3040.3905133380977,17361.416108803336
36,711067971.391143,1.1352439225104216,0.07070485967528518,376005356.7019263,3.979621995157056,0.07921922780085928,209,7708.092204277771,18089.008550505812
360,566519591.7616045,1.2019689937950417,0.05908086920873203,131825402.19044535,5.590248989865561,0.015577468811760127,212,5397.085254800177,19510.27125915781
364,199329057.93312207,1.142142544063478,0.08163202744711238,130998317.1841787,2.9106618390380583,0.3185214786888473,160,3944.493457549527,15108.83513803309
368,195848693.9835162,1.489435461829431,0.19686476632397606,194956543.1984931,0.32194731173488805,0.8783143825207043,96,4924.656488779357,14227.925725483732
372,507082972.8008362,1.9566621399278383,0.05013936815022712,196604047.45485082,4.3832755581390055,0.04479587587001789,208,3758.0987309301768,18752.843874944185
376,170760305.1087653,0.8185342163953019,0.01712925119952283,57192365.31196274,5.162034190437133,0.039546669052143275,189,5487.712167900764,16781.414606563238
384,39772011.79019347,1.2845401004380783,0.03033530646254669,21528602.308297686,3.3041798451314444,0.10631727290200323,174,5478.988955157531,18813.50248517031
388,3714245.788444027,0.2515832242963135,0.012363522348412693,2423202.6333221104,2.9851977187949186,0.2308898932627401,153,7948.45073896702,17841.67762797689
392,2135891594.9905424,1.1431249168677018,0.03485440807875152,354959802.1402308,6.07914676138264,0.010901543256085272,209,5410.455069368022,18639.418002662285
398,134135401.25928931,1.3948116748546908,0.14479282882671307,85712915.62516724,2.979549153067136,0.23405969648704625,143,3520.394138469668,16504.943744721248
4,3320852.1911077294,0.11491686016189655,0.013197645609536854,1462855.476546496,3.6485304357342123,0.050887688875549196,128,1300.2893862115684,16178.854507979784
40,470184406.53283715,0.9590242939569387,0.046403599722858305,39219792.51572485,6.630196693232453,0.003523069766659123,211,2162.3884112183528,18121.667967445203
400,25854768.30036671,0.4026407678053535,0.005932058951947904,5849445.244852589,5.107954069086314,0.016340333554145096,163,2719.0197138055337,15852.383559914035
404,17598764.028038725,0.3343944272548208,0.043329526729693056,7261134.795122193,4.5390619404118855,0.06280298479496928,180,4219.987383096137,15586.65614849187
408,4687625.66458917,0.5339347338290273,0.26165033906396656,2192309.0802803445,3.9025488944562245,0.11105442752903162,112,2742.863165993047,19149.058900203854
410,1734262889.2120566,1.2484174763348346,0.058317834868620994,444338152.1505014,5.4860199178710705,0.02061460830203922,213,4933.400618954707,19484.750780629536
414,155825267.4881133,1.5152388740149967,0.15017869609205003,136310536.57115442,1.6037473192339005,0.479490817853416,156,5582.227850103553,14848.813012749257
417,5564331.657310875,0.2883761094736959,0.08580864535220424,3067391.8042641794,3.78032749921424,0.1092109571074464,114,3407.0963032664354,17084.24926427861
418,13606283.436400197,0.7224469737031542,0.059692430371242215,6813838.2358896155,3.7448038584747874,0.06922632193421578,129,1770.4838846812254,18955.978658686658
422,11615147.362562181,0.1867554224963094,0.003908691270639367,3419199.9431951623,5.259338756275239,0.029875515654487993,178,2428.9109040199687,16064.974114982959
428,40134851.1009418,0.7634586230837999,0.06272682773685755,7059122.418904123,6.009939269944517,0.010183824651107957,196,1865.9498166249277,17118.09953895136
430,3534014.835736576,0.25586616868529327,0.02813695581779356,2734221.0888473988,2.4111515204376075,0.16103371522125254,101,6568.470149210056,18768.110433353402
434,54979694.37050545,1.721632244965618,0.32812500180378223,53234537.67554598,0.9274362940387265,0.6264061991298145,89,4366.640020036365,13756.949876108076
44,3351636.0544235813,0.1707728152611351,0.005110782647093518,2005511.5658262363,2.8728509915473937,0.10169602461491063,118,7854.110831923997,17170.255649608156
440,78252395.80792288,0.8515200263371879,0.06439075219721431,18073653.856959105,5.921973052889048,0.02341235947354922,196,2054.6815273724437,17235.41486403377
450,10069711.538763495,0.9186526133530604,0.07149715619499795,4949042.559424226,3.8089604939104245,0.07986916305177666,164,8210.492110978765,16801.92874294102
454,3322360.2042515,0.5394699886890911,0.04494194291694948,2429346.0124797514,2.406806223989332,0.2988350426169605,134,6221.387017697445,15330.098245408944
458,694123364.3601311,1.3021919926746788,0.073021209053183,175342166.44620693,5.482297176479933,0.018125461390193675,215,4752.4691384759235,19267.938139591715
462,938878.3076323421,0.11817334450022329,0.023867447791936624,712642.9167933427,2.552844524927122,0.12998698944027057,85,3715.457908179876,17087.991360031294
466,10159592.4005165,0.8252113719120792,0.1396367944653142,8985486.602032317,1.3556163886557748,0.5962558777406082,134,6059.393135036216,18630.244462808332
470,15644130.076728044,0.45243763489819616,0.03190427354027997,8274128.861088116,3.953114854421955,0.07746292489189398,187,4606.250474409886,18033.53288676753
478,8849195.093846735,0.777649238306302,0.05264443042473723,5205094.444716496,2.8554633459554926,0.09340471523736683,131,6965.219514530024,17610.181462349774
48,35085277.72673929,0.6556960629473045,0.09882734000347795,17646027.596378762,3.865929141027662,0.10506099167538101,167,2712.677104672172,15368.806395807023
480,7930723.131831235,0.47613185213468473,0.01703435291650399,2456370.1345243356,4.8110474929451135,0.029555809228211556,171,6629.851447771512,17952.3185732365
484,1259534813.5089455,1.076931503902304,0.04428195682783797,291831653.2764023,5.444314347180603,0.015715779978289157,204,7877.032394193861,17952.3185732365
496,20588421.540647432,1.4539499623679926,0.08987008213169455,15820109.255525006,2.394947921468112,0.16899877228615917,114,1784.5746409455198,18906.515237569278
498,8668524.757111974,0.5770857437943273,0.06082442462377197,2123521.487442231,4.999899897741396,0.019751260452808336,155,1660.8990240617495,17051.026430464997
499,1496687.0902278537,0.1676880333429521,0.033255624726251584,599646.0854585492,4.231668086134072,0.0487164949397026,107,1662.3742055013258,17739.499969166704
50,123624398.95402691,0.8514514431272682,0.0374946805478351,56740390.338,3.9082486909000322,0.05436773702364674,145,7130.685493052869,17704.801799490964
504,90576712.54246318,0.6710227911718858,0.039111523293683885,20426042.54183996,5.065334971463585,0.018887544634592014,186,3737.877525371039,18602.570717562212
508,20215799.499165338,0.8520886477495604,0.1809915153479684,10964926.008181855,3.3601587180799153,0.0701469936774355,150,7697.992012871429,15604.158243932594
51,7748676.585793508,0.6108016916018024,0.05965923734542024,4292950.773501302,3.536142233382397,0.10457847239889044,129,3096.5752860482366,15603.10733632765
512,102441612.70502166,1.1621233222290628,0.10610646856173549,70619939.52595323,2.93852862544982,0.2331051380882997,173,4301.504637586837,14850.538299402162
52,607923.2455781178,0.21941542496073468,0.032011166485613446,362529.4232087159,3.4361317448133017,0.08838612617107183,107,7371.753819651839,18747.727245037542
520,64356.62321270602,0.3362861033005455,0.040216151529071785,42181.13046735282,3.012780705661535,0.20637494444315227,76,6826.214356894554,18868.252383308172
524,2511284.9498137017,0.08752903649632827,0.009716329717457704,665677.9514983173,4.764070900317009,0.02251307217406985,149,5416.909488798048,17489.801090898254
528,1419239532.245157,0.9384674933796505,0.05371181721543933,254477557.44926497,6.301453520012432,0.011398248197505892,220,2422.325388221479,18475.73498708216
548,663090.1372617158,0.790161801890129,0.1003299572654164,428146.7593998764,2.6853851813824328,0.127813053062704,65,11143.615728984989,19519.16004421686
554,114247531.57481588,0.9802404910580331,0.04142562449305226,30823111.63291651,4.980324651970469,0.02415076604006622,212,10174.103174861004,19765.692130279742
558,15520347.393136565,0.6959863730686443,0.017200390111261323,6392398.249196332,4.010565738801616,0.04504620286564286,161,3641.4280294384553,18158.31906971219
562,2519851.8147051474,0.6429711472026822,0.17023999499962222,1905869.1110756663,2.6026059961490784,0.14049906001606244,134,6498.54856053546,19575.279893859635
566,146792496.48217905,1.2475642450251392,0.13165741131111616,133589768.98445186,1.2664034152808148,0.5693921703968238,157,6105.010353216567,19551.779731678846
583,286252.69778210146,0.6118013732991525,0.13425556522614168,277060.1457560643,1.0959682924466845,0.5096370918341807,36,5667.868571080474,16872.754150194196
584,1546683.7423729284,0.05692436791500789,0.015225304009550302,1152783.5495575278,2.430659296261424,0.1615669177680361,85,10234.24920455281,18306.889026471614
585,80036.90622908228,0.1500816742977545,0.015837796908108482,68756.41456661896,2.1416450344782154,0.22281607386731817,55,4774.47294908684,19106.083448074394
586,77747859.47171597,0.45710006421134897,0.02405405159758421,16908831.797013517,5.297992719634111,0.01558058988905885,198,4700.272842243432,16312.72638109469
591,16513592.76242114,0.2009043769150419,0.07287934193166938,5614231.008361512,4.886850873283491,0.03246501689156263,162,5008.747419792928,18833.75400313019
598,26431624.183180727,2.151804040966827,0.0707043329072915,18414519.93275665,2.4376076119611234,0.15853536311298544,94,5300.266202635645,17630.11803903205
600,20627528.496385496,0.5787615808431501,0.012523033757506042,13553722.57405719,3.099292813291091,0.12800978713554673,157,6981.281019687628,18733.195407877214
604,131056743.23789118,1.112218363475114,0.07062564079740473,71687406.25787404,3.6602677961658223,0.10047994360809,191,11917.757789465846,19611.39680464817
608,247072940.39331594,0.7816229264100928,0.11327834611338597,84924790.90085426,4.818109457924247,0.03440105396991279,203,5038.1581308485165,19561.93691357894
616,656997729.7983162,0.9328312046516343,0.057877891146602585,46167767.34765294,6.628128276171314,0.003361737644820226,210,1621.8187851720859,17628.227937677788
620,184059003.8857172,0.7566422752804401,0.04691066331724161,20834583.305416893,6.341865145037791,0.006090982929177161,205,2791.7170839773926,19765.692130279742
624,810331.0676341952,0.8090482326659977,0.17808800403047065,735208.3491589313,0.9394096390795649,0.7078943781004718,63,8951.430368472968,16472.762368210006
626,184177.85915332602,0.11542101039461442,0.057001268411474654,168277.26321969085,1.4264798715920977,0.43204900363130044,65,4306.21231039227,17927.406412818746
634,193975695.96352753,1.9472919545721084,0.08566343664986738,166586050.622236,1.9507120954760753,0.2557989793337926,149,6129.67629165341,14484.965368992313
64,606540.335708443,0.3441324929292996,0.07518061981936776,473425.8242607169,2.091280371865739,0.3625210918443932,72,5535.714587927329,17961.865347263894
642,219017199.82807213,0.8679623276446213,0.05433552370759771,30431830.11168679,5.9631906318117265,0.00788031388386341,198,2078.521876143275,17311.658160027062
643,1073388011.0883877,1.6234267127025697,0.1223641114677669,602576984.3140081,3.938384801665605,0.11897833928804345,199,4611.230841109463,17197.475016753044
646,2340605.333994238,0.46256649768058317,0.077838448036843,1857744.7744188146,2.376203244474047,0.2553985574945069,127,4319.393601076192,14354.41674225263
659,198233.8318095971,0.28256575362735736,0.014855963595439184,108382.72600000002,3.0732690596769903,0.09129397354053377,73,7997.888757804152,18006.06046513135
662,299255.2914335699,0.06203130271717615,0.03001628093677583,118463.69680997005,4.361095539699304,0.0451137173604372,93,3743.3737614070756,18702.051558750085
670,596598.2008208521,1.0694822250054514,0.13920533394756726,487840.6503144388,2.2449132723450838,0.22154778854387522,74,9559.695497299788,18781.216158624804
674,468327.23727262305,0.5400436286661894,0.04484038567591187,209874.91950481193,4.252839579663055,0.06353892012496289,99,2827.4122055201715,18295.139168475573
678,50275.34693235106,0.13723978515113458,0.03930952023745132,38525.55340109666,2.3844034171563635,0.3088683209201234,63,5717.796305796843,16871.76677614245
68,25544886.035182394,1.0010447958783832,0.055592153181257695,17896360.853455313,2.782583101843986,0.14014415414015807,141,7332.015665409982,19054.944460896146
682,637261776.2384511,1.609470188027651,0.1429497643104908,485560255.82220286,2.399521970338008,0.3731607312951239,184,5712.892800786923,15943.197574452484
686,10904860.672198543,0.39338081981867185,0.04137617098114878,4446818.091771285,4.291486115566869,0.044165690857398264,168,3680.6548101162152,19604.35237494931
688,51715550.243931055,0.8013491223356088,0.05507116216995447,6848435.678065114,5.995862413828649,0.0075263232750776695,178,1441.9515908468904,17629.72645713089
690,2150910.878895098,0.8072163527515265,0.12816204174652782,1724693.5080765877,2.4754189748699473,0.18475459176932243,122,6922.656726596118,16680.24457100117
694,2111797.973512109,0.6976529612116841,0.05682413391301089,1407244.146904513,3.068770415431566,0.10586913135588844,117,8567.864401612884,18899.08211521921
70,20015374.06198032,0.6349023304408861,0.06517431691764562,2609718.744600764,5.639264396041254,0.008315435401462611,166,990.6795868606835,17869.59518019978
702,685142063.4398263,0.7652095619990383,0.060614207622008615,203053370.25282916,5.103463556228023,0.04132016237444764,215,4472.103744887476,19727.55201207025
703,236739949.85540438,1.0239263369983014,0.04657023655883997,57435582.33171845,5.542070363687305,0.017228462615742977,199,1466.7545406462827,17709.143504724678
704,691754265.2500689,1.0993125746332295,0.09131023874687777,196835453.4237211,5.245383040154104,0.031786863341954616,166,5354.957777888234,19179.241021272966
705,97585365.13815837,0.9769165692097688,0.06121022836091874,17066556.12329928,6.077166466531626,0.010162153638305148,203,1485.8521279161685,18095.358255795658
706,1525424.3380935825,0.17569339177619558,0.031152057477910042,1221058.3805934212,2.332910573309932,0.1620089638200764,87,2568.5577888300068,15230.548068180045
716,10620172.525843041,0.6459216250706351,0.08875266345300632,6868355.712797221,3.1236972375690777,0.11602553177005986,135,5890.336377362856,15079.566595902677
724,904089945.0406139,0.89156193350169,0.04087334180895408,136081619.73012185,6.541264812294026,0.0068964366856642196,217,3426.2439038621133,19568.98687580313
728,4528880.193,2.6437403446125036,0.089681947472737,4487450.019999999,0.18064794197080308,0.9518622150249132,49,7947.240905018639,14602.674650868114
729,13322157.531948578,0.5137642014849919,0.0831161503314132,10366869.971899375,2.3962950152899083,0.20063478674483204,144,3516.419930469508,15357.965129684397
740,5426860.043179543,1.8691547898722634,0.1336982959579325,4680978.429081166,1.6331261891787334,0.4492329968920005,112,10931.59142446628,19228.929028769762
752,444923176.18744236,1.0177920889684293,0.04408238737709573,72170705.98142453,6.162490550701767,0.008637341693354028,216,3156.616869316246,17159.98440947934
76,662442531.202372,1.4441956390474913,0.07228663855240106,221471684.8238717,4.907129146523658,0.03219715145055747,219,11000.202545325565,19561.93691357894
760,2286977.57938783,0.13957088294386316,0.00948756031803506,687416.5672744609,4.714617785432274,0.02953145290435374,116,1576.1380895734546,15900.941892893745
762,2961157.2579034674,0.27702676406299653,0.047177293075407266,1925510.0699738276,2.936588554049675,0.09754157290791275,93,2233.7096013121277,16746.899296594835
764,770134820.5236093,1.24745313748025,0.04543234718068137,122572991.73542929,5.965271990718085,0.009594315155514068,218,4660.908980470049,19183.803549590164
768,7350188.95824477,0.2772286881307295,0.03684746863755552,5008232.623289233,2.9056014954396776,0.1689789334240128,125,3931.593678554689,17899.763990751508
776,41571.798781449426,0.08864353006193047,0.007067257104821296,24319.40506664967,3.2119439351517456,0.0985213033260903,50,7150.211793955454,18808.197042869626
780,23493744.9112731,1.648462657497619,0.08319312147025956,19677828.204536367,2.1581476736950376,0.1857344226765441,120,6168.522610515314,19083.911318835122
784,624749443.6634676,0.8958549383507292,0.07722161432808358,337136111.17661023,4.167067553559582,0.08608988808929383,213,4129.440415468596,15019.663376766694
788,47182756.50229062,0.7796035366232598,0.009880872763385609,10126934.71909564,5.37151332039627,0.01577097674315997,177,2871.663067014788,18218.165277900804
792,502135351.4101114,0.819784956229958,0.03854409689878692,58860618.51218938,6.351815372670421,0.005757158816764356,209,2907.4414241068393,16451.57604380252
795,23425653.497890078,1.9519951055286133,0.09986873284052526,21646677.303041175,1.108415446484062,0.6231089739149225,102,3539.99910715734,15775.038266569645
798,81588.95789508155,0.7332566505657742,0.25897379862439995,76647.10351531956,1.60371561517155,0.3060758206549378,48,8852.514285860236,18943.478252142442
8,7314658.288744983,0.537806769720418,0.041350215328063857,2079567.4838931288,4.871694780463077,0.023332572759705985,129,2084.4818907913796,17643.955938164345
800,10231871.452182977,0.5959217388648307,0.07402719693813135,5043713.087819712,3.982011330375657,0.07411277968258378,156,3001.0868037336804,14850.305370815826
804,136195426.44982535,0.8881152902975548,0.0681997511720221,36233798.59351574,5.161799152025032,0.022212457831365467,197,2807.3374097256774,16838.79967514027
807,19336774.585876632,0.7989448210959555,0.07952433952441874,7660045.354628207,4.467678321806449,0.04651937474900122,147,1289.212184697477,17520.113836126213
818,95892583.00342149,0.4327318891884858,0.03885553656186221,29578934.018157553,5.247070925054394,0.031284184153206766,178,3332.9644013483867,17321.662781223233
826,1235778616.0802877,0.6405124269459428,0.03384044870506437,233267081.50259584,6.09725744799032,0.01065993515020211,219,3965.0904248596867,18583.662199071983
834,19442346.075021155,0.703668409950169,0.0031606790755480483,8916945.787941864,4.147283961082335,0.09729133483528625,166,4762.661012206587,15059.723714301812
84,1220530.269461461,0.3739303256449113,0.02482689000672841,558890.4975049421,4.035638467523342,0.05774613127827163,134,8457.851084405807,17536.747169497343
854,14949422.455807494,1.3669399709266743,0.08559747500526503,13362595.75848362,1.784688108798081,0.28226809506134515,133,6288.065318259229,18878.623034787182
858,26098861.63075692,0.8756382871648146,0.04222589663307981,10946105.2636451,4.1549668812132445,0.053979831230025685,174,10275.125567890147,19484.750780629536
860,27971174.816128504,0.6898944796352818,0.08486062291133668,16744915.75056561,3.375234057317445,0.1374421001132874,123,2644.0661754376197,16145.491337634221
862,86998920.78221291,2.539712144131596,0.059782128515984495,80786127.94909059,1.2345072838319822,0.5544094173620123,128,13227.34413767019,19349.778218434785
882,229236.56486032193,0.17622076893232064,0.0250991835716906,106469.52880983584,3.940484112996053,0.06066278560006707,84,7198.733274686947,18970.479436136116
887,4527256.537809842,0.20307437473888937,0.06390304060070737,3434576.406411634,2.293349974763552,0.25790488901088143,90,3356.1384571597578,14522.662675393572
894,28480187.852480598,1.302497197626123,0.19355037256084018,22069941.967652816,2.2810118212987796,0.28564134828383775,132,7061.572107456223,14680.116294470346
90,2412313.3529259274,1.34385290341093,0.10474267090919764,1939782.7333000451,2.1702718941228873,0.22243030063198038,89,7670.821485990581,18356.9459739459
96,16499285.206446111,1.533743175082103,0.0920317372488101,15558889.80718329,1.3656154774210898,0.40265471893021537,110,3302.6507482859392,18885.52332375434
